Rank,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
116,"Castillo, Luis",CIN,P,118.87,81,161,,103,,
117,"Davis, Wade",COL,P,118.87,83,156,,103,,
118,"Knebel, Corey",MLW,P,120.57,68,159,,103,,
119,"Brantley, Michael",HOU,OF,121.16,81,156,,103,,
120,"Cano, Robinson",NYM,2B,123.53,71,170,,103,,
121,"Odor, Rougned",TEX,2B,123.62,82,156,,103,,
122,"Jimenez, Eloy",CWS,OF,124.19,75,177,,103,,
123,"Muncy, Max",LAD,"1B, 3B",125.83,82,179,,103,,
124,"Ray, Robbie",ARZ,P,128.2,86,179,,103,,
125,"Ramos, Wilson",NYM,C,128.35,62,155,,103,,
126,"Bieber, Shane",CLE,P,128.55,33,166,,103,,
127,"Archer, Chris",PIT,P,129.21,89,165,,103,,
128,"Hicks, Aaron",NYY,OF,130.51,91,179,,103,,
129,"Contreras, Willson",CHC,C,131.01,96,163,,103,,
130,"Hendricks, Kyle",CHC,P,131.41,73,174,,103,,
131,"Darvish, Yu",CHC,P,132.11,88,166,,103,,
132,"Tanaka, Masahiro",NYY,P,132.3,97,167,,103,,
133,"Profar, Jurickson",OAK,"SS, 3B, 1B",132.4,68,182,,103,,
134,"Giles, Ken",TOR,P,132.53,99,165,,103,,
135,"McCutchen, Andrew",PHI,OF,134.43,78,171,,103,,
136,"Foltynewicz, Mike",ATL,P,135.17,64,226,,103,,
137,"Moustakas, Mike",MLW,3B,136.02,103,166,,103,,
138,"Anderson, Tim",CWS,SS,138.84,92,184,,103,,
139,"Happ, J.A.",NYY,P,139.55,102,173,,103,,
140,"Devers, Rafael",BOS,3B,139.98,100,161,,103,,
141,"Inciarte, Ender",ATL,OF,140.49,100,179,,103,,
142,"Encarnacion, Edwin",SEA,1B,141.72,60,180,,103,,
143,"Molina, Yadier",STL,C,142.08,101,188,,103,,
144,"Dozier, Brian",WAS,2B,142.44,98,177,,103,,
145,"Buxton, Byron",MIN,OF,143.44,64,187,,103,,
146,"Rosario, Amed",NYM,SS,144.24,106,189,,103,,
147,"Desmond, Ian",COL,"1B, OF",145.05,109,181,,103,,
148,"Peralta, David",ARZ,OF,145.16,117,177,,103,,
149,"Pivetta, Nick",PHI,P,145.21,113,178,,103,,
150,"Posey, Buster",SF,C,145.9,110,183,,103,,
151,"Allen, Cody",LAA,P,147.98,117,174,,103,,
152,"Rodriguez, Eduardo",BOS,P,149.77,107,175,,103,,
153,"Glasnow, Tyler",TB,P,151.82,78,198,,103,,
154,"Alvarado, Jose",TB,P,151.9,109,185,,103,,
155,"Moncada, Yoan",CWS,2B,152.85,109,188,,103,,
156,"Hamels, Cole",CHC,P,154,105,194,,103,,
157,"Robertson, David",PHI,P,156.7,108,195,,103,,
158,"Cabrera, Miguel",DET,1B,156.88,115,201,,103,,
159,"Mazara, Nomar",TEX,OF,157.59,130,191,,103,,
160,"Piscotty, Stephen",OAK,OF,158.76,118,199,,103,,
161,"Hamilton, Billy",KC,OF,159.42,104,260,,103,,
162,"Hill, Rich",LAD,P,165.82,134,216,,103,,
163,"Hicks, Jordan",STL,P,168.18,88,215,,103,,
164,"Hampson, Garrett",COL,SS,170.08,113,249,,103,,
165,"Eovaldi, Nathan",BOS,P,171.08,134,239,,103,,
166,"Porcello, Rick",BOS,P,173.47,119,231,,103,,
167,"Nimmo, Brandon",NYM,OF,174.31,132,214,,103,,
168,"Freeland, Kyle",COL,P,174.69,123,238,,103,,
169,"Hosmer, Eric",SD,1B,175.69,143,246,,103,,
170,"Jansen, Danny",TOR,C,176.09,133,221,,103,,
171,"Smith, Will",SF,P,176.79,143,223,,103,,
172,"Kikuchi, Yusei",SEA,P,177.4,107,228,,103,,
173,"Ryu, Hyun-Jin",LAD,P,178.28,140,217,,103,,
174,"Escobar, Eduardo",ARZ,"3B, SS",178.36,75,240,,103,,
175,"Voit, Luke",NYY,1B,179.7,127,231,,103,,
176,"DeJong, Paul",STL,SS,180.13,109,287,,103,,
177,"Andrus, Elvis",TEX,SS,182.44,137,274,,103,,
178,"Vizcaino, Arodys",ATL,P,183.29,117,239,,103,,
179,"Bradley, Archie",ARZ,P,183.5,122,243,,103,,
180,"Meadows, Austin",TB,OF,185.4,139,250,,103,,
181,"Hernandez, Cesar",PHI,2B,185.41,148,286,,103,,
182,"Laureano, Ramon",OAK,OF,186.37,122,231,,103,,
183,"Senzel, Nick",CIN,2B,186.99,100,229,,103,,
184,"Schoop, Jonathan",MIN,2B,187.65,157,252,,103,,
185,"Winker, Jesse",CIN,OF,189.46,147,230,,103,,
186,"Luzardo, Jesus",OAK,P,190.55,142,253,,103,,
187,"Lucchesi, Joey",SD,P,190.9,152,239,,103,,
188,"Braun, Ryan",MLW,OF,193.43,161,233,,103,,
189,"Santana, Domingo",SEA,OF,194.6,133,253,,103,,
190,"Colome, Alex",CWS,P,196.02,157,252,,103,,
191,"Eaton, Adam",WAS,OF,196.64,147,249,,103,,
192,"Quintana, Jose",CHC,P,197.93,149,244,,103,,
193,"Gurriel, Yuli",HOU,"1B, 3B",199.37,117,254,,103,,
194,"Maeda, Kenta",LAD,P,199.5,150,244,,103,,
195,"Gray, Jon",COL,P,199.72,145,258,,103,,
196,"Bader, Harrison",STL,OF,199.98,157,265,,103,,
197,"Stripling, Ross",LAD,P,201.48,162,254,,103,,
198,"Santana, Carlos",CLE,1B,201.76,108,270,,103,,
199,"Dickerson, Corey",PIT,OF,203.19,99,250,,103,,
200,"Ohtani, Shohei",LAA,UT,203.44,125,298,,103,,
201,"Musgrove, Joe",PIT,P,203.88,156,246,,103,,
202,"Arrieta, Jake",PHI,P,203.99,148,273,,103,,
203,"Renfroe, Hunter",SD,OF,206.35,156,273,,103,,
204,"Strop, Pedro",CHC,P,207.26,162,267,,103,,
205,"Castillo, Welington",CWS,C,209.03,145,267,,103,,
206,"May, Trevor",MIN,P,212.38,138,262,,103,,
207,"Gomes, Yan",WAS,C,212.74,160,300,,103,,
208,"Barnes, Matt",BOS,P,213.29,138,278,,103,,
209,"Schwarber, Kyle",CHC,OF,213.33,65,330,,103,,
210,"Bradley Jr., Jackie",BOS,OF,214.17,158,294,,103,,
211,"Reyes, Franmil",SD,OF,214.8,155,284,,103,,
212,"Keuchel, Dallas",HOU,P,215,157,311,,103,,
213,"Lester, Jon",CHC,P,215.47,156,328,,103,,
214,"Heaney, Andrew",LAA,P,215.68,158,384,,101,,
215,"Wendle, Joey",TB,"2B, 3B",217.17,139,297,,103,,
216,"Alonso, Peter",NYM,1B,217.55,110,294,,103,,
217,"Dominguez, Seranthony",PHI,P,218.21,135,327,,103,,
218,"Polanco, Jorge",MIN,SS,219.82,148,309,,103,,
219,"Kepler, Max",MIN,OF,222.3,159,316,,103,,
220,"McHugh, Collin",HOU,P,222.58,154,296,,103,,
221,"Marte, Ketel",ARZ,"2B, SS",225.17,154,277,,103,,
222,"Cabrera, Asdrubal",TEX,"2B, SS, 3B",225.35,147,304,,103,,
223,"Paddack, Chris",SD,P,225.41,110,425,,103,,
224,"Smoak, Justin",TOR,1B,229.74,159,310,,103,,
225,"Zunino, Mike",TB,C,231.3,162,291,,103,,
226,"Bauers, Jake",CLE,"1B, OF",231.31,169,321,,103,,
227,"Miller, Andrew",STL,P,232.37,101,284,,102,,
228,"Gonzalez, Marwin",MIN,"1B, 2B, SS, OF",232.75,185,292,,103,,
229,"Chirinos, Robinson",HOU,C,234.55,156,323,,103,,
230,"Skaggs, Tyler",LAA,P,235.38,186,337,,103,,
231,"Greene, Shane",DET,P,236.68,185,324,,103,,
232,"Taylor, Chris",LAD,"SS, OF",237.15,190,327,,103,,
233,"Semien, Marcus",OAK,SS,237.21,161,310,,103,,
234,"Mejia, Francisco",SD,C,238.58,164,299,,103,,
235,"Reyes, Alex",STL,P,242.64,183,336,,103,,
236,"Grichuk, Randal",TOR,OF,243.93,194,298,,103,,
237,"Givens, Mychal",BAL,P,244.5,169,347,,103,,
238,"James, Josh",HOU,P,245.59,161,351,,103,,
239,"Cron, C.J.",MIN,1B,245.88,158,318,,103,,
240,"Martinez, Jose",STL,"1B, OF",246.22,163,354,,103,,
241,"Gausman, Kevin",ATL,P,248.75,177,351,,102,,
242,"Matz, Steven",NYM,P,249.61,195,321,,103,,
243,"Mancini, Trey",BAL,"OF, 1B",249.89,207,321,,103,,
244,"Whitley, Forrest",HOU,P,250.13,159,350,,103,,
245,"Alfaro, Jorge",MIA,C,250.39,169,341,,102,,
246,"Urias, Julio",LAD,P,252.88,182,319,,103,,
247,"Martinez, Carlos",STL,P,253.86,141,459,,100,,
248,"Newcomb, Sean",ATL,P,254.32,160,355,,101,,
249,"Simmons, Andrelton",LAA,SS,254.7,177,324,,102,,
250,"Peacock, Brad",HOU,P,256.22,200,331,,103,,
251,"Strickland, Hunter",SEA,P,258.15,188,360,,103,,
252,"Wacha, Michael",STL,P,260.79,186,333,,103,,
253,"Herrera, Odubel",PHI,OF,261.45,183,320,,102,,
254,"Chacin, Jhoulys",MLW,P,261.5,99,324,,103,,
255,"Bell, Josh",PIT,1B,261.74,193,355,,103,,
256,"Adames, Willy",TB,SS,261.94,136,359,,103,,
257,"Polanco, Gregory",PIT,OF,262.73,206,358,,102,,
258,"Nelson, Jimmy",MLW,P,263.82,198,345,,101,,
259,"Barnhart, Tucker",CIN,C,264.04,212,310,,103,,
260,"Cervelli, Francisco",PIT,C,264.15,175,325,,103,,
261,"Godley, Zack",ARZ,P,264.33,190,349,,103,,
262,"Betances, Dellin",NYY,P,265.59,178,339,,101,,
263,"Gonzales, Marco",SEA,P,265.69,177,327,,103,,
264,"Strahm, Matt",SD,P,267.76,63,378,,102,,
265,"Narvaez, Omar",SEA,C,268.33,222,326,,103,,
266,"White, Tyler",HOU,1B,271.05,200,367,,103,,
267,"Tatis, Jr., Fernando",SD,SS,272.27,170,352,,102,,
268,"Gray, Sonny",CIN,P,274.26,197,336,,102,,
269,"Sanchez, Anibal",WAS,P,275.55,215,332,,102,,
270,"Franco, Maikel",PHI,3B,276.43,177,345,,103,,
271,"Minter, A.J.",ATL,P,276.75,186,351,,100,,
272,"Gibson, Kyle",MIN,P,278.7,217,349,,102,,
273,"Wood, Alex",CIN,P,279.04,205,359,,100,,
274,"Bruce, Jay",SEA,"OF, 1B",280.61,198,368,,101,,
275,"Astudillo, Willians",MIN,C,282.5,182,360,,100,,
276,"Gurriel Jr., Lourdes",TOR,"SS, 2B",283.3,176,350,,99,,
277,"Lamb, Jake",ARZ,3B,284.52,214,343,,100,,
278,"Choo, Shin-Soo",TEX,OF,286.44,198,360,,100,,
279,"Burnes, Corbin",MLW,P,287.29,196,368,,101,,
280,"Kiner-Falefa, Isiah",TEX,"3B, C, 2B",287.72,176,360,,103,,
281,"Weaver, Luke",ARZ,P,289.95,199,359,,101,,
282,"Teheran, Julio",ATL,P,291.08,203,362,,101,,
283,"Eflin, Zach",PHI,P,294.64,184,360,,101,,
284,"LeMahieu, DJ",NYY,2B,297.01,165,356,,97,,
285,"Margot, Manuel",SD,OF,299.71,199,354,,99,,
286,"Mullins, Cedric",BAL,OF,300.53,220,358,,99,,
287,"McNeil, Jeff",NYM,2B,305.57,232,377,,101,,
288,"Happ, Ian",CHC,"OF, 3B",306.03,156,358,,97,,
289,"Morrow, Brandon",CHC,P,306.15,139,356,,95,,
290,"Allen, Greg",CLE,OF,307.48,194,367,,98,,
291,"Kemp, Matt",CIN,OF,309.44,189,354,,95,,
292,"Anderson, Brian",MIA,"OF, 3B",312.76,235,360,,99,,
293,"Boxberger, Brad",KC,P,313.03,147,388,,98,,
294,"Lucroy, Jonathan",LAA,C,313.35,239,359,,101,,
295,"Barnes, Austin",LAD,C,319.22,237,364,,97,,
296,"Goodrum, Niko",DET,"2B, 1B",319.28,185,357,,97,,
297,"Steckenrider, Drew",MIA,P,320.75,217,358,,93,,
298,"Sano, Miguel",MIN,3B,322.2,188,403,,92,,
299,"Lopez, Reynaldo",CWS,P,322.73,230,373,,94,,
300,"Toussaint, Touki",ATL,P,322.88,230,368,,97,,
301,"Alonso, Yonder",CWS,1B,323.09,209,359,,96,,
302,"Hedges, Austin",SD,C,323.9,208,359,,96,,
303,"Rodon, Carlos",CWS,P,324.72,199,358,,94,,
304,"Pineda, Michael",MIN,P,325.96,235,412,,98,,
305,"Hernandez, Kike",LAD,"OF, 2B, SS",330.12,193,419,,91,,
306,"DeShields, Delino",TEX,OF,331.28,214,413,,94,,
307,"Woodruff, Brandon",MLW,P,335.42,178,387,,91,,
308,"Soler, Jorge",KC,OF,336.5,188,397,,95,,
309,"Brasier, Ryan",BOS,P,340.09,173,399,,94,,
310,"Suzuki, Kurt",WAS,C,340.51,145,361,,91,,
311,"Pressly, Ryan",HOU,P,342.07,194,372,,91,,
312,"Tucker, Kyle",HOU,OF,343.95,223,394,,89,,
313,"Souza Jr., Steven",ARZ,OF,344.05,245,390,,91,,
314,"Palka, Daniel",CWS,OF,347.07,171,395,,91,,
315,"Boyd, Matthew",DET,P,347.12,238,402,,93,,
316,"Markakis, Nick",ATL,OF,349.14,237,383,,87,,
317,"Stroman, Marcus",TOR,P,355.58,163,394,,87,,
318,"O'Neill, Tyler",STL,OF,357.86,193,404,,87,,
319,"Herrera, Kelvin",CWS,P,358.86,242,381,,90,,
320,"Brinson, Lewis",MIA,OF,359.56,182,409,,88,,
321,"Fiers, Mike",OAK,P,362.92,237,452,,87,,
322,"Williams, Trevor",PIT,P,367.25,216,359,,79,,
323,"Bundy, Dylan",BAL,P,367.47,245,411,,83,,
324,"Romo, Sergio",MIA,P,368.97,180,438,,85,,
325,"McMahon, Ryan",COL,1B,369.83,236,428,,81,,
326,"Lowrie, Jed",NYM,2B,382.52,189,393,,77,,
327,"German, Domingo",NYY,P,383.02,235,499,,82,,
328,"Ottavino, Adam",NYY,P,385.46,219,396,,77,,
329,"Hicks, John",DET,"1B, C",388.19,192,391,,80,,
330,"Junis, Jake",KC,P,390.19,195,434,,80,,
331,"Kiermaier, Kevin",TB,OF,395.34,276,413,,78,,
332,"Pillar, Kevin",TOR,OF,398.12,246,414,,74,,
333,"Frazier, Adam",PIT,"2B, OF",399.01,271,375,,76,,
334,"Parker, Blake",MIN,P,401.16,196,382,,75,,
335,"Garcia, Avisail",TB,OF,401.2,225,412,,74,,
336,"Pederson, Joc",LAD,OF,402.62,191,379,,70,,
337,"Martin, Leonys",CLE,OF,403.04,240,422,,75,,
338,"Gardner, Brett",NYY,OF,404.74,175,402,,72,,
339,"Holland, Derek",SF,P,409.8,244,425,,72,,
340,"Minor, Mike",TEX,P,411.33,256,440,,72,,
341,"Jones, Adam",ARZ,OF,414.76,195,384,,68,,
342,"Peralta, Freddy",MLW,P,415.07,253,411,,71,,
343,"Rodriguez, Dereck",SF,P,417.03,220,382,,69,,
344,"Hernandez, Teoscar",TOR,OF,419,264,389,,69,,
345,"Peralta, Wily",KC,P,419.99,269,442,,70,,
346,"Flores, Wilmer",ARZ,1B,424.24,245,391,,66,,
347,"Gregorius, Didi",NYY,SS,428.83,200,388,,63,,
348,"Zimmerman, Ryan",WAS,1B,429.89,258,376,,64,,
349,"Stewart, Christin",DET,OF,431.39,269,413,,64,,
350,"Sanchez, Aaron",TOR,P,435.7,240,418,,62,,
351,"Jeffress, Jeremy",MLW,P,436.94,214,428,,60,,
352,"Samardzija, Jeff",SF,P,443.04,275,454,,63,,
353,"Belt, Brandon",SF,1B,444.81,260,378,,59,,
354,"Velasquez, Vince",PHI,P,445.1,229,407,,58,,
355,"Castro, Starlin",MIA,2B,446.29,225,402,,59,,
356,"Jimenez, Joe",DET,P,453.74,74,393,,56,,
357,"Seager, Kyle",SEA,3B,454.48,225,487,,53,,
358,"Fulmer, Michael",DET,P,459.67,230,418,,52,,
359,"Kang, Jung Ho",PIT,3B,461.04,180,451,,54,,
360,"Iannetta, Chris",COL,C,463.59,258,407,,54,,
361,"Bour, Justin",LAA,1B,465.77,234,441,,54,,
362,"Healy, Ryon",SEA,1B,467.94,221,445,,52,,
363,"Sisco, Chance",BAL,C,469.9,294,506,,55,,
364,"O'Hearn, Ryan",KC,1B,470.99,190,402,,50,,
365,"Harvey, Matt",LAA,P,471.36,277,497,,54,,
366,"Miley, Wade",HOU,P,473.95,292,483,,53,,
367,"Calhoun, Kole",LAA,OF,479.06,288,511,,50,,
368,"Sheffield, Justus",SEA,P,480.77,269,453,,48,,
369,"Melancon, Mark",SF,P,482.44,272,437,,48,,
370,"Wright, Kyle",ATL,P,483.2,195,578,,50,,
371,"DeSclafani, Anthony",CIN,P,485.06,289,453,,47,,
372,"Camargo, Johan",ATL,3B,485.81,249,413,,45,,
373,"Diaz, Elias",PIT,C,486.96,297,440,,46,,
374,"Kinsler, Ian",SD,2B,489.91,249,430,,45,,
375,"Holland, Greg",ARZ,P,490.82,265,526,,47,,
376,"Richards, Trevor",MIA,P,493.23,222,535,,46,,
377,"Kipnis, Jason",CLE,2B,494.16,288,420,,43,,
378,"Roark, Tanner",CIN,P,495.08,218,473,,44,,
379,"Urias, Luis",SD,2B,496.11,246,441,,41,,
380,"Cordero, Franchy",SD,OF,497.81,278,418,,41,,
381,"Hays, Austin",BAL,OF,502.59,247,562,,42,,
382,"Bird, Greg",NYY,1B,505.6,277,519,,42,,
383,"Longoria, Evan",SF,3B,506.1,205,491,,38,,
384,"Lowe, Brandon",TB,2B,508.88,274,525,,40,,
385,"Anderson, Chase",MLW,P,509.22,230,479,,39,,
386,"Guzman, Ronald",TEX,1B,512.97,304,455,,38,,
387,"Kingery, Scott",PHI,SS,513.4,258,432,,37,,
388,"Britton, Zack",NYY,P,515.16,244,456,,35,,
389,"Flowers, Tyler",ATL,C,518.68,278,429,,35,,
390,"Candelario, Jeimer",DET,3B,520.95,215,427,,32,,
391,"Schebler, Scott",CIN,OF,521.13,294,489,,34,,
392,"Garver, Mitch",MIN,C,521.88,249,452,,32,,
393,"Cahill, Trevor",LAA,P,522.04,292,517,,35,,
394,"Verdugo, Alex",LAD,OF,523.29,308,448,,33,,
395,"Bichette, Bo",TOR,SS,523.51,158,498,,33,,
396,"Rosenthal, Trevor",WAS,P,524.34,242,490,,34,,
397,"Perez, Hernan",MLW,"2B, 3B, SS, OF",524.73,248,463,,32,,
398,"Kelly, Merrill",ARZ,P,525.26,303,511,,34,,
399,"Tulowitzki, Troy",NYY,SS,526.74,242,465,,33,,
400,"Harrison, Josh",DET,2B,527.57,238,484,,32,,
401,"Smith, Caleb",MIA,P,528.22,308,526,,34,,
402,"Loaisiga, Jonathan",NYY,P,529.53,270,534,,33,,
403,"Familia, Jeurys",NYM,P,530.56,267,436,,29,,
404,"Odorizzi, Jake",MIN,P,531.2,278,490,,32,,
405,"Nunez, Eduardo",BOS,"2B, 3B",531.64,288,461,,29,,
406,"Soroka, Mike",ATL,P,532.75,310,513,,30,,
407,"Kelly, Carson",ARZ,C,536.03,299,455,,29,,
408,"Swanson, Dansby",ATL,SS,536.76,313,454,,29,,
409,"Smyly, Drew",TEX,P,539.37,291,480,,29,,
410,"Yarbrough, Ryan",TB,P,541.63,308,492,,28,,
411,"Keller, Brad",KC,P,543.42,246,498,,27,,
412,"Buttrey, Ty",LAA,P,543.94,291,479,,26,,
413,"Rogers, Taylor",MIN,P,544.79,300,536,,28,,
414,"Gonzalez, Gio",MLW,P,545.14,264,515,,27,,
415,"Diaz, Yandy",TB,3B,545.41,281,471,,26,,
416,"Cishek, Steve",CHC,P,545.84,249,576,,29,,
417,"Urena, Jose",MIA,P,545.94,219,463,,25,,
418,"Thames, Eric",MLW,"OF, 1B",547.3,286,496,,25,,
419,"Lopez, Pablo",MIA,P,548.18,301,582,,26,,
420,"Castillo, Diego",TB,P,548.61,308,504,,26,,
421,"Pinder, Chad",OAK,"OF, 2B",549.19,287,480,,25,,
422,"Zobrist, Ben",CHC,"OF, 2B",549.62,280,470,,23,,
423,"Crawford, Brandon",SF,SS,549.69,305,531,,24,,
424,"Pomeranz, Drew",SF,P,550.04,316,550,,27,,
425,"Hudson, Dakota",STL,P,553.62,287,600,,27,,
426,"Maldonado, Martin",KC,C,553.93,277,528,,24,,
427,"Green, Chad",NYY,P,554.31,294,480,,22,,
428,"Lynn, Lance",TEX,P,554.37,305,555,,23,,
