Rank,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
1,"Trout, Mike",LAA,OF,1.09,1,3,,103,,
2,"Betts, Mookie",BOS,OF,1.94,1,3,,103,,
3,"Ramirez, Jose",CLE,3B,4.31,2,10,,103,,
4,"Scherzer, Max",WAS,P,4.74,2,10,,103,,
5,"Martinez, J.D.",BOS,OF,6.17,2,12,,103,,
6,"Yelich, Christian",MLW,OF,6.73,3,12,,103,,
7,"Turner, Trea",WAS,SS,6.78,3,12,,103,,
8,"Arenado, Nolan",COL,3B,7.17,3,13,,103,,
9,"Acuna, Ronald",ATL,OF,8.17,3,16,,103,,
10,"deGrom, Jacob",NYM,P,10.8,5,23,,103,,
11,"Sale, Chris",BOS,P,11.99,4,24,,103,,
12,"Judge, Aaron",NYY,OF,13.53,4,22,,103,,
13,"Bregman, Alex",HOU,"3B, SS",14.39,6,21,,103,,
14,"Altuve, Jose",HOU,2B,15.87,7,27,,103,,
15,"Harper, Bryce",PHI,OF,16.22,9,27,,103,,
16,"Story, Trevor",COL,SS,16.37,10,25,,103,,
17,"Lindor, Francisco",CLE,SS,16.85,7,29,,103,,
18,"Baez, Javier",CHC,"2B, SS, 3B",18.44,8,30,,103,,
19,"Goldschmidt, Paul",STL,1B,18.63,11,29,,103,,
20,"Machado, Manny",SD,SS,20.55,9,29,,103,,
21,"Verlander, Justin",HOU,P,20.68,11,30,,103,,
22,"Freeman, Freddie",ATL,1B,20.77,11,31,,103,,
23,"Stanton, Giancarlo",NYY,OF,21.59,13,32,,103,,
24,"Cole, Gerrit",HOU,P,22.95,12,28,,103,,
25,"Nola, Aaron",PHI,P,24.97,13,34,,103,,
26,"Kluber, Corey",CLE,P,25.62,12,36,,103,,
27,"Blackmon, Charlie",COL,OF,27.73,13,36,,103,,
28,"Bauer, Trevor",CLE,P,28.54,14,35,,103,,
29,"Snell, Blake",TB,P,30.41,18,42,,103,,
30,"Benintendi, Andrew",BOS,OF,30.52,20,41,,103,,
31,"Merrifield, Whit",KC,"2B, OF",30.58,19,42,,103,,
32,"Bryant, Kris",CHC,"3B, OF",32.29,17,43,,103,,
33,"Carrasco, Carlos",CLE,P,34.32,26,47,,103,,
34,"Marte, Starling",PIT,OF,35.06,25,45,,103,,
35,"Soto, Juan",WAS,OF,35.69,24,47,,103,,
36,"Syndergaard, Noah",NYM,P,36.45,24,48,,103,,
37,"Buehler, Walker",LAD,P,37.4,27,56,,103,,
38,"Mondesi, Adalberto",KC,SS,37.5,13,58,,103,,
39,"Hoskins, Rhys",PHI,OF,37.83,22,51,,103,,
40,"Rizzo, Anthony",CHC,1B,37.85,25,46,,103,,
41,"Rendon, Anthony",WAS,3B,42.42,35,55,,103,,
42,"Bellinger, Cody",LAD,"1B, OF",42.71,27,57,,103,,
43,"Realmuto, J.T.",PHI,C,43.26,26,60,,103,,
44,"Davis, Khris",OAK,UT,44.75,34,59,,103,,
45,"Bogaerts, Xander",BOS,SS,48.24,33,72,,103,,
46,"Correa, Carlos",HOU,SS,49.12,36,70,,103,,
47,"Corbin, Patrick",WAS,P,49.4,37,65,,103,,
48,"Diaz, Edwin",NYM,P,52.6,38,71,,103,,
49,"Paxton, James",NYY,P,52.79,38,73,,103,,
50,"Suarez, Eugenio",CIN,3B,52.83,39,70,,103,,
51,"Flaherty, Jack",STL,P,53.03,38,70,,103,,
52,"Sanchez, Gary",NYY,C,53.5,25,79,,103,,
53,"Guerrero Jr., Vladimir",TOR,3B,54.4,26,91,,103,,
54,"Taillon, Jameson",PIT,P,55.75,40,82,,103,,
55,"Strasburg, Stephen",WAS,P,56.42,34,80,,103,,
56,"Clevinger, Mike",CLE,P,57.91,42,73,,103,,
57,"Pham, Tommy",TB,OF,58.91,40,79,,103,,
58,"Kershaw, Clayton",LAD,P,60.41,34,110,,103,,
59,"Springer, George",HOU,OF,60.91,45,90,,103,,
60,"Cain, Lorenzo",MLW,OF,61.62,40,83,,103,,
61,"Segura, Jean",PHI,SS,61.88,35,85,,103,,
62,"Treinen, Blake",OAK,P,62.04,45,78,,103,,
63,"Albies, Ozzie",ATL,2B,63.64,43,85,,103,,
64,"Murphy, Daniel",COL,2B,64.31,46,88,,103,,
65,"Votto, Joey",CIN,1B,65.08,44,94,,103,,
66,"Berrios, Jose",MIN,P,65.5,42,87,,103,,
67,"Puig, Yasiel",CIN,OF,66.21,31,87,,103,,
68,"Greinke, Zack",ARZ,P,66.53,49,91,,103,,
69,"Dahl, David",COL,OF,66.68,41,83,,103,,
70,"Torres, Gleyber",NYY,"2B, SS",70.01,45,98,,103,,
71,"Carpenter, Matt",STL,"1B, 3B",71.64,48,95,,103,,
72,"Severino, Luis",NYY,P,71.79,31,171,,103,,
73,"Jansen, Kenley",LAD,P,73.31,61,87,,103,,
74,"Chapman, Aroldis",NYY,P,74.39,61,94,,103,,
75,"Hand, Brad",CLE,P,75.81,56,94,,103,,
76,"Villar, Jonathan",BAL,2B,75.96,51,102,,103,,
77,"Osuna, Roberto",HOU,P,78.02,44,100,,103,,
78,"Marquez, German",COL,P,79.45,48,102,,103,,
79,"Aguilar, Jesus",MLW,1B,81.9,59,120,,103,,
80,"Wheeler, Zack",NYM,P,82.82,59,127,,103,,
81,"Andujar, Miguel",NYY,3B,83.63,50,131,,103,,
82,"Rosario, Eddie",MIN,OF,83.64,60,110,,103,,
83,"Vazquez, Felipe",PIT,P,83.76,67,101,,103,,
84,"Ozuna, Marcell",STL,OF,84.07,49,119,,103,,
85,"Robles, Victor",WAS,OF,86.26,62,126,,103,,
86,"Abreu, Jose",CWS,1B,88.17,60,118,,103,,
87,"Seager, Corey",LAD,SS,90.73,65,138,,103,,
88,"Bumgarner, Madison",SF,P,92.49,67,123,,103,,
89,"Gennett, Scooter",CIN,2B,93.44,66,132,,103,,
90,"Kimbrel, Craig",BOS,P,94,61,139,,103,,
91,"Peraza, Jose",CIN,SS,94.09,71,129,,103,,
92,"Mikolas, Miles",STL,P,94.31,74,120,,103,,
93,"Cruz, Nelson",MIN,UT,94.74,47,140,,103,,
94,"Haniger, Mitch",SEA,OF,95.85,62,146,,103,,
95,"Shaw, Travis",MLW,"3B, 2B",97.48,73,121,,103,,
96,"Gallo, Joey",TEX,"OF, 1B",97.54,44,127,,103,,
97,"Castellanos, Nicholas",DET,OF,97.6,50,136,,103,,
98,"Price, David",BOS,P,98.98,25,128,,103,,
99,"Myers, Wil",SD,"OF, 3B",100.46,61,135,,103,,
100,"Donaldson, Josh",ATL,3B,101.55,66,132,,103,,
101,"Doolittle, Sean",WAS,P,102.23,79,146,,103,,
102,"Yates, Kirby",SD,P,102.95,74,133,,103,,
103,"Conforto, Michael",NYM,OF,104.2,76,148,,103,,
104,"Smith, Mallex",SEA,OF,106.21,67,165,,103,,
105,"Turner, Justin",LAD,3B,106.53,77,163,,103,,
106,"Upton, Justin",LAA,OF,106.83,73,151,,103,,
107,"Leclerc, Jose",TEX,P,107.07,72,137,,103,,
108,"Gordon, Dee",SEA,"2B, OF",109.09,75,156,,103,,
109,"Pollock, A.J.",LAD,OF,109.45,61,139,,103,,
110,"Hader, Josh",MLW,P,110.1,85,151,,103,,
111,"Iglesias, Raisel",CIN,P,110.52,79,149,,103,,
112,"Chapman, Matt",OAK,3B,111.79,81,151,,103,,
113,"Olson, Matt",OAK,1B,112.1,85,154,,103,,
114,"Grandal, Yasmani",MLW,C,113.89,51,146,,103,,
115,"Morton, Charlie",TB,P,115.41,81,146,,103,,
