Rank,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
98,"Shaw, Travis",MLW,"3B, 2B",98.79,70,130,,162,,
99,"Hader, Josh",MLW,P,100.14,60,152,,162,,
100,"Price, David",BOS,P,101.05,72,129,,162,,
101,"Donaldson, Josh",ATL,3B,101.79,51,145,,162,,
102,"Smith, Mallex",SEA,OF,102.27,67,144,,162,,
103,"Doolittle, Sean",WAS,P,102.81,71,146,,162,,
104,"Gallo, Joey",TEX,"OF, 1B",104.79,73,168,,162,,
105,"Gordon, Dee",SEA,"2B, OF",105.96,67,161,,162,,
106,"Iglesias, Raisel",CIN,P,107.8,79,148,,162,,
107,"Muncy, Max",LAD,"1B, 3B",108.75,57,172,,162,,
108,"Turner, Justin",LAD,3B,109.1,81,158,,162,,
109,"Myers, Wil",SD,"OF, 3B",109.15,61,139,,162,,
110,"Conforto, Michael",NYM,OF,109.54,63,144,,162,,
111,"Chapman, Matt",OAK,3B,111.11,72,154,,162,,
112,"Olson, Matt",OAK,1B,112.21,84,150,,162,,
113,"Castillo, Luis",CIN,P,113.73,81,149,,162,,
114,"Leclerc, Jose",TEX,P,114.01,75,148,,162,,
115,"Pollock, A.J.",LAD,OF,114.74,60,149,,162,,
116,"Yates, Kirby",SD,P,115.12,83,147,,162,,
117,"Morton, Charlie",TB,P,115.33,79,158,,162,,
118,"Davis, Wade",COL,P,115.42,84,148,,162,,
119,"Jimenez, Eloy",CWS,OF,116.36,54,168,,162,,
120,"Brantley, Michael",HOU,OF,118.22,73,150,,162,,
121,"Hicks, Aaron",NYY,OF,118.63,81,151,,162,,
122,"Profar, Jurickson",OAK,"SS, 3B, 1B",125.77,85,167,,162,,
123,"Encarnacion, Edwin",SEA,1B,126.46,79,167,,162,,
124,"Cano, Robinson",NYM,2B,127.17,66,170,,162,,
125,"Ray, Robbie",ARZ,P,127.66,91,162,,162,,
126,"Giles, Ken",TOR,P,128.46,84,173,,162,,
127,"Hendricks, Kyle",CHC,P,128.48,91,159,,162,,
128,"Knebel, Corey",MLW,P,132.19,87,184,,162,,
129,"Grandal, Yasmani",MLW,C,132.52,63,178,,162,,
130,"Odor, Rougned",TEX,2B,133.74,90,177,,162,,
131,"Anderson, Tim",CWS,SS,134.19,79,182,,162,,
132,"Inciarte, Ender",ATL,OF,135.1,105,203,,162,,
133,"Ramos, Wilson",NYM,C,135.46,84,166,,162,,
134,"Happ, J.A.",NYY,P,135.87,99,175,,162,,
135,"Tanaka, Masahiro",NYY,P,135.97,97,166,,162,,
136,"Archer, Chris",PIT,P,136.52,86,180,,162,,
137,"Peralta, David",ARZ,OF,136.86,101,169,,162,,
138,"Contreras, Willson",CHC,C,139.36,89,177,,162,,
139,"Desmond, Ian",COL,"1B, OF",140.97,65,172,,162,,
140,"Dozier, Brian",WAS,2B,141.4,81,191,,162,,
141,"McCutchen, Andrew",PHI,OF,143.18,99,195,,162,,
142,"Rosario, Amed",NYM,SS,143.35,101,179,,162,,
143,"Posey, Buster",SF,C,144.35,89,187,,162,,
144,"Moustakas, Mike",MLW,3B,146.08,103,184,,162,,
145,"Molina, Yadier",STL,C,147.38,113,175,,162,,
146,"Darvish, Yu",CHC,P,148.38,110,212,,162,,
147,"Devers, Rafael",BOS,3B,149.72,96,203,,162,,
148,"Piscotty, Stephen",OAK,OF,153.04,120,196,,162,,
149,"Bieber, Shane",CLE,P,153.22,106,217,,162,,
150,"Hamels, Cole",CHC,P,153.86,80,197,,162,,
151,"Pivetta, Nick",PHI,P,154.16,129,189,,162,,
152,"Hamilton, Billy",KC,OF,157.8,82,260,,162,,
153,"Moncada, Yoan",CWS,2B,158.3,113,224,,162,,
154,"Mazara, Nomar",TEX,OF,158.4,127,202,,162,,
155,"Freeland, Kyle",COL,P,158.51,94,221,,162,,
156,"Martinez, Carlos",STL,P,158.78,97,341,,162,,
157,"Rodriguez, Eduardo",BOS,P,158.86,129,218,,162,,
158,"Glasnow, Tyler",TB,P,159.29,106,218,,162,,
159,"Alvarado, Jose",TB,P,161.22,120,253,,162,,
160,"Allen, Cody",LAA,P,162.83,84,293,,162,,
161,"Cabrera, Miguel",DET,1B,163.7,113,217,,162,,
162,"Buxton, Byron",MIN,OF,165.34,94,240,,162,,
