Rank,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
98,"Robles, Victor",WAS,OF,101.76,56,148,,135,,
99,"Donaldson, Josh",ATL,3B,102.2,62,165,,135,,
100,"Puig, Yasiel",CIN,OF,102.44,52,161,,135,,
101,"Iglesias, Raisel",CIN,P,104.44,69,154,,135,,
102,"Hader, Josh",MLW,P,105.39,60,184,,135,,
103,"Conforto, Michael",NYM,OF,107.11,63,144,,135,,
104,"Gallo, Joey",TEX,"OF, 1B",107.37,53,160,,135,,
105,"Turner, Justin",LAD,3B,107.45,74,148,,135,,
106,"Cruz, Nelson",MIN,UT,107.55,50,185,,135,,
107,"Muncy, Max",LAD,"1B, 3B",108.56,57,175,,135,,
108,"Doolittle, Sean",WAS,P,109.18,81,167,,135,,
109,"Chapman, Matt",OAK,3B,109.52,75,142,,135,,
110,"Olson, Matt",OAK,1B,109.61,80,149,,135,,
111,"Jimenez, Eloy",CWS,OF,110.53,54,184,,135,,
112,"Perez, Salvador",KC,C,110.93,68,150,,135,,
113,"Gordon, Dee",SEA,"2B, OF",112.8,67,159,,135,,
114,"Castillo, Luis",CIN,P,113.2,82,144,,135,,
115,"Myers, Wil",SD,"OF, 3B",113.87,79,143,,135,,
116,"Pollock, A.J.",LAD,OF,116.3,77,148,,135,,
117,"Ray, Robbie",ARZ,P,117.72,80,154,,135,,
118,"Profar, Jurickson",OAK,"SS, 3B, 1B",117.94,83,165,,135,,
119,"Brantley, Michael",HOU,OF,117.99,79,152,,135,,
120,"Morton, Charlie",TB,P,118.81,79,158,,135,,
121,"Leclerc, Jose",TEX,P,119.21,84,199,,135,,
122,"Hicks, Aaron",NYY,OF,119.51,78,151,,135,,
123,"Davis, Wade",COL,P,120.33,88,179,,135,,
124,"Hendricks, Kyle",CHC,P,121.55,72,158,,135,,
125,"Encarnacion, Edwin",SEA,1B,122.15,79,161,,135,,
126,"Ohtani, Shohei",LAA,UT,123.07,60,388,,135,,
127,"Yates, Kirby",SD,P,124.36,85,210,,135,,
128,"Martinez, Carlos",STL,P,124.93,82,158,,135,,
129,"Anderson, Tim",CWS,SS,125.73,78,178,,135,,
130,"Cano, Robinson",NYM,2B,126.73,66,165,,135,,
131,"Odor, Rougned",TEX,2B,128.44,82,164,,135,,
132,"Peralta, David",ARZ,OF,131.67,98,179,,135,,
133,"Archer, Chris",PIT,P,133.99,97,172,,135,,
134,"Ramos, Wilson",NYM,C,134.2,70,172,,135,,
135,"Giles, Ken",TOR,P,135.63,96,210,,135,,
136,"Tanaka, Masahiro",NYY,P,136.27,91,168,,135,,
137,"Contreras, Willson",CHC,C,138.01,92,169,,135,,
138,"Happ, J.A.",NYY,P,138.79,100,187,,135,,
139,"Inciarte, Ender",ATL,OF,139.64,105,181,,135,,
140,"Dozier, Brian",WAS,2B,140.83,88,192,,135,,
141,"Molina, Yadier",STL,C,141.28,72,182,,135,,
142,"Rosario, Amed",NYM,SS,141.68,91,188,,135,,
143,"Desmond, Ian",COL,"1B, OF",142.55,105,190,,135,,
144,"Posey, Buster",SF,C,143.27,89,183,,135,,
145,"Grandal, Yasmani",MLW,C,143.82,90,182,,135,,
146,"Freeland, Kyle",COL,P,144.13,55,214,,135,,
147,"McCutchen, Andrew",PHI,OF,146.81,106,209,,135,,
148,"Piscotty, Stephen",OAK,OF,147.64,113,185,,135,,
