name,status,age,team,pos,,,,,,,,,,,,,
Johnny Cueto,,31,SF,SP,7,42,4,0.999999668,58,19,4.440152356,7.573483462,1.068697396,-0.483225038,0.699948914,1.749234567,1.405496519
Buster Posey,,30,SF,C,1,43,4,0.99988036,29,93,0.241156159,7.839158243,1.60749549,-0.576653474,-0.433676552,0.340189551,-0.696198856
Rougned Odor,,23,TEX,2B,6,44,4,0.999973668,22,40,2.566275508,6.013372852,0.212008891,0.950755168,0.366304551,0.828723412,0.208483486
Carlos Gonzalez,,31,COL,OF,8,45,4,0.998846689,38,42,2.365153441,5.661992255,0.613668296,0.97771032,0.213665602,1.041744281,-0.481635059
J.D. Martinez,Injury,29,DET,OF,10,45,4,0.93622185,61,50,2.028849603,5.325688417,0.602052166,0.951743226,0.365039258,0.774005948,-0.663990996
Yoenis Cespedes,,31,NYM,OF,13,47,4,0.999997097,59,54,1.834073392,5.130912206,-0.229110532,1.06283661,0.587396266,0.950965819,-0.538014772
Kenley Jansen,,29,LAD,RP,1,48,4,0.999885294,67,33,2.927212631,6.246482027,-1.346516848,2.884441291,-0.877168655,0.757356496,1.509100347
Jose Abreu,,30,CHW,1B,6,49,4,0.999924517,40,46,2.138429021,4.835224299,0.906389867,0.779503999,0.493434978,0.890382401,-0.931282224
Aroldis Chapman,,29,NYY,RP,3,49,4,0.999127261,77,65,1.453608237,4.772877633,-1.464670652,2.547674658,-1.046022697,0.714419992,0.702206937
Stephen Strasburg,,28,WAS,SP,13,51,4,0.99999989,21,29,3.172004909,6.305336015,0.843886407,-0.483225038,0.941960308,0.860988069,1.008395163
Kyle Seager,,29,SEA,3B,5,52,5,0.999999104,43,60,1.574400721,4.894951638,-0.067263136,0.745988063,0.594590297,0.851509547,-0.550424051
Chris Archer,,28,TB,SP,12,53,5,0.999995594,50,28,3.301120244,6.43445135,0.858840369,-0.483225038,1.469768012,1.005156309,0.450580593
Wil Myers,,26,SD,1B,10,54,5,0.999999295,74,80,0.825642915,3.522438193,-0.662883055,0.308955358,0.145299161,-0.043341713,1.077613165
Gary Sanchez,,24,NYY,C,2,54,5,0.999988892,109,141,-1.175921658,6.422080425,-0.511573916,0.263946571,-0.550788199,0.136935667,-0.514441782
Christian Yelich,,25,MIA,OF,14,54,5,0.999903219,60,55,1.808955312,5.105794126,1.082844207,-0.563715477,0.732951008,0.093313758,0.463561816
Andrew McCutchen,,30,PIT,OF,5,57,5,0.999986082,54,36,2.756178788,6.053017602,0.535360137,0.439462352,0.852291965,0.91716201,0.011902324
Dee Gordon,,28,MIA,2B,9,58,5,0.999996602,63,96,0.16168216,3.608779504,0.66843159,-2.607053794,-0.376226006,-1.91977623,4.3963066
Gregory Polanco,,25,PIT,OF,20,59,5,0.999985541,86,89,0.461621564,3.758460378,-0.350286949,-0.318023386,0.194296802,-0.133231242,1.068866339
Carlos Carrasco,,30,CLE,SP,125,60,5,0.990613294,31,428,,,,,,,
Jacob deGrom,,28,NYM,SP,16,61,5,0.999993604,44,47,2.124833729,5.258164835,0.49513799,-0.483225038,0.653940274,0.859055432,0.599925071
Jean Segura,,27,SEA,2B,10,62,5,0.999999037,68,99,0.032634536,3.479731881,0.144100557,-1.118958635,0.134136517,-1.161703869,2.035059967
Zach Britton,,29,BAL,RP,2,63,5,0.999999563,87,58,1.620801006,4.940070403,-1.341544944,2.884441291,-1.333085765,0.912238761,0.498751663
Matt Carpenter,,31,STL,3B,9,64,5,0.999989311,73,90,0.456086324,3.776637241,-0.085367549,-0.047211138,1.309919277,0.056878877,-0.778133142
Adrian Beltre,,37,TEX,3B,6,65,6,0.999999342,56,62,1.561346086,4.881897003,1.098241003,0.329156357,0.036027919,1.030844086,-0.93292328
Kyle Hendricks,,27,CHC,SP,15,66,6,0.999999965,57,45,2.325201458,5.458532564,0.93852986,-0.483225038,0.437474552,0.739665825,0.69275626
Kyle Schwarber,,24,CHC,OF,40,67,6,0.999952617,92,179,-2.288874235,1.007964579,-0.552225845,-0.383471197,-0.065079658,-0.679208902,-0.608888634
Ian Kinsler,,34,DET,2B,7,68,6,0.999999579,47,48,2.075663696,5.52276104,0.336538246,-0.170577799,1.615725452,0.235053748,0.058924049
Billy Hamilton,,26,CIN,OF,25,69,6,0.999560647,101,124,-0.760662435,2.536176379,-1.198987909,-2.148608778,-0.885192431,-2.146607894,5.618734577
Carlos Martinez,,25,STL,SP,20,70,6,0.999999641,91,76,0.938719796,4.072050902,0.972370925,-0.483225038,0.889247686,0.646666136,-1.086339913
Jonathan Lucroy,,30,TEX,C,3,71,6,1,70,175,-2.164106037,5.433896046,0.454639166,-0.347134889,-0.948322027,-0.621187671,-0.702100617
Todd Frazier,,31,CHW,3B,7,72,6,0.999998821,46,68,1.368115893,4.68866681,-1.87513191,1.51653087,0.422982964,0.888255426,0.415478542
Chris Davis,,31,BAL,1B,7,73,6,0.999995594,41,56,1.757185409,4.453980687,-2.153809559,2.119705249,1.073727376,1.563672713,-0.846110369
Mark Trumbo,,31,BAL,DH,4,73,6,0.999999207,55,79,0.844421078,3.755671386,-0.849484383,1.812237145,-0.004436917,0.72748179,-0.841376558
Hanley Ramirez,,33,BOS,1B,11,75,6,0.999999751,64,81,0.806416043,3.50321132,0.287483122,0.551993091,-0.403309109,0.53386371,-0.163614771
David Price,Injury,31,BOS,SP,11,76,6,0.990558332,36,26,3.433185571,6.566516677,1.124974025,-0.483225038,1.142016258,0.750351311,0.899069016
Masahiro Tanaka,,28,NYY,SP,18,77,6,0.999999574,69,64,1.500066249,4.633397355,0.879275811,-0.483225038,0.475183593,-0.063099821,0.691931706
Justin Upton,,29,DET,OF,12,78,7,0.999998691,83,52,1.93351545,5.230354264,-0.811686198,1.274519356,0.695168459,0.676079754,0.099434079
Mark Melancon,,32,SF,RP,5,79,7,0.999999997,111,77,0.901857117,4.221126513,-1.353787099,2.800249633,-1.634693439,0.550430118,0.539657904
Seung-hwan Oh,,34,STL,RP,8,80,7,0.999998088,112,108,-0.249814373,3.069455023,-1.544121594,1.95833305,-1.380654179,0.262725434,0.453902915
Cole Hamels,,33,TEX,SP,33,81,7,0.999999993,71,103,-0.157906164,2.975424942,0.985592568,-0.483225038,0.940608605,-0.412467226,-1.188415072
Alex Bregman,Sleeper,23,HOU,3B,15,82,7,0.999999025,81,140,-1.16653165,2.154019267,-0.248028869,-0.599373571,-0.101827097,-0.04034548,-0.176956632
Wade Davis,,31,CHC,RP,13,83,7,0.999973099,107,136,-1.117387304,2.201882093,-1.587817113,2.042524709,-1.842625579,0.091223145,0.179307535
DJ LeMahieu,,28,COL,2B,8,84,7,1,80,53,1.854567088,5.301664433,2.328956553,-1.400728288,0.724238881,-0.443061219,0.645161161
Adam Jones,,31,BAL,OF,16,85,7,0.999998969,93,67,1.402757847,4.699596661,-0.147784501,1.078225569,0.854667574,0.24364966,-0.626000455
Jose Bautista,,36,TOR,OF,19,86,7,0.999994066,105,75,0.947971264,4.244810078,-1.136925612,0.98762688,0.603657995,1.129401212,-0.635789212
Zack Greinke,,33,ARI,SP,21,87,7,0.99999884,84,78,0.847251357,3.980582463,0.603201665,-0.483225038,0.521159362,-0.049191694,0.255307062
Ian Desmond,Injury,31,COL,OF,7,88,7,0.998972588,65,41,2.429113971,5.725952785,0.536574533,0.152687616,0.248436859,0.602584596,0.888830367
Khris Davis,,29,OAK,OF,21,89,7,0.999999998,100,92,0.335760309,3.632599123,-1.432654423,1.487638554,0.165724949,0.767861745,-0.652810516
Matt Kemp,,32,ATL,OF,15,89,7,0.999999998,103,57,1.626643825,4.923482639,-0.232490699,0.990888421,0.124687958,1.274685417,-0.531127272
Evan Longoria,,31,TB,3B,8,89,7,0.999999997,78,73,0.978442183,4.2989931,-0.36560334,1.047682105,0.341860083,0.87625473,-0.921751395
Craig Kimbrel,,28,BOS,RP,10,92,8,1,116,116,-0.535134949,2.784134448,-1.475540248,2.295099683,-1.246330476,-0.025789968,-0.08257394
Rick Porcello,,28,BOS,SP,26,93,8,0.999989205,114,87,0.608327855,3.741658961,1.08835048,-0.483225038,0.445091517,-0.743380982,0.301491879
Edwin Diaz,,23,SEA,RP,7,94,8,0.999999967,102,105,-0.21206059,3.107208806,-1.528836664,2.042524709,-1.266814261,0.319293567,0.221772059
Roberto Osuna,,22,TOR,RP,6,95,8,0.999999665,120,100,-0.01151812,3.307751276,-1.536619936,2.547674658,-1.420688907,-0.051257959,0.449374024
Jose Quintana,,28,CHW,SP,24,96,8,1,95,85,0.690218292,3.823549398,0.636865035,-0.483225038,0.627724716,0.18995217,-0.28109859
Danny Duffy,,28,KC,SP,23,97,8,0.999999998,82,83,0.70396462,3.837295726,0.611738791,-0.483225038,0.596819427,-0.155080319,0.133711759
Gerrit Cole,,26,PIT,SP,27,98,8,0.999996156,94,88,0.558026954,3.69135806,0.753110927,-0.483225038,0.463646409,0.180388731,-0.355894075
Anthony Rendon,,26,WAS,3B,10,99,8,0.999999972,76,95,0.214970226,3.535521143,0.190541425,-0.239719338,0.090860414,0.146339487,0.026948238
Eric Hosmer,,27,KC,1B,8,100,8,0.999999995,72,61,1.565067711,4.261862988,0.361826868,0.215542338,0.351357564,1.09882272,-0.46248178
Kenta Maeda,,28,LAD,SP,22,101,8,1,85,82,0.742739701,3.876070807,0.51808237,-0.483225038,0.44760394,-0.01078143,0.271059859
Julio Teheran,,26,ATL,SP,31,101,8,1,130,101,-0.029312566,3.10401854,0.325822282,-0.483225038,0.552143085,-0.573164754,0.149111859
Willson Contreras,,24,CHC,C,5,103,8,0.999999999,124,291,-4.334696355,3.263305728,-0.274617808,-0.855117167,-1.506378592,-1.127675359,-0.570907428
